v1,v2
ham,"Hey, are we still on for lunch tomorrow?"
spam,"Congratulations! You won a free iPhone. Claim now!"
ham,"Can you send me the report by 5 PM?"
spam,"Urgent! Your account has been compromised. Click here to reset."
ham,"Let's catch up soon, it's been a while!"
spam,"Get rich quick! Earn $5000 in a week with no work!"
ham,"Are you coming to the meeting later today?"
spam,"You've been selected for an exclusive prize. Redeem now!"
ham,"Don't forget about the birthday party this weekend."
spam,"Win a free vacation! Just enter your details here."
spam,"Free bitcoins."